reaction_time,crosshair_accuracy,game_sense_score,kd_ratio
252,48.68,34,0.85
329,93.74,70,1.75
242,55.01,57,0.98
164,84.5,36,1.94
256,71.02,41,1.22
221,53.79,63,1.39
338,20.99,62,0.21
170,90.67,77,2.6
252,62.25,52,1.29
271,48.91,91,1.29
360,21.2,66,0.02
364,37.32,73,0.66
224,38.08,64,1.1
352,71.24,94,1.41
237,65.75,76,1.66
266,82.49,32,1.2
249,33.0,30,0.38
253,49.33,34,0.69
301,33.67,43,0.25
280,76.65,56,1.47
299,51.89,38,0.66
202,35.6,44,0.84
151,62.58,71,2.0
237,22.35,80,0.92
385,83.17,92,1.65
307,53.73,81,1.25
187,49.64,33,1.13
279,89.5,52,1.56
341,74.55,44,0.87
337,44.49,72,0.86
170,62.78,58,1.7
310,59.06,65,1.24
353,92.09,42,1.35
207,83.34,61,2.19
171,76.05,88,2.4
385,60.48,57,0.65
238,64.01,95,1.97
198,92.39,71,2.52
368,65.53,74,1.25
208,40.7,91,1.73
319,42.22,86,1.04
369,32.4,35,-0.21
337,21.17,57,0.16
357,51.76,57,0.48
164,49.62,73,1.82
339,42.01,59,0.44
339,21.06,91,0.65
324,34.91,91,0.93
339,73.35,30,0.68
200,79.26,56,1.84
